           ,Subject,grade,             ,Strand,              ,Strand Descriptor,               ,Concept,                ,Accessing Information,       ,        
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI06.CC,"Identify what to do during an emergency and/or natural disaster, including floods, earthquakes.  (REQ)",HE.03.UI06.SM,"Demonstrate what to do during an earthquake including methods of “duck, cover and roll”.  (REQ)",,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI06.CC,"Identify what to do during an emergency and/or natural disaster, including floods, earthquakes.  (REQ)",HE.03.UI06.IC,Demonstrate how provide emergency information to a 911 operator.  (REQ),,
HE12,Health Education (2012),Third Grade,,Unintentional Injury Prevention,,"Acquire knowledge and skills necessary to be safe at home, on the move, at school, and at work and in the community and how to get help in case of injury. [Related ORS:  184.740 Safe Routes to Schools Program (K-12); 336.071 Emergency drills and instruction (K-12); Related OAR: 581-022-1210 District curriculum (K-12); 581-022-1420 Emergency plans and safety programs (K-12); 737-025-0000 – 0080 Safe Routes to School (K-12)]",HE.03.UI06.CC,"Identify what to do during an emergency and/or natural disaster, including floods, earthquakes.  (REQ)",HE.03.UI06.DM,Use the decision making process to identify safe locations and meeting places at home and school the event of an emergency.  (REQ),,
HE12,Health Education (2012),Third Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors. [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.VS01.CC,Identify pro-social behaviors.  (REC),HE.03.VS01.SM,Demonstrate ways to prevent violence and unsafe situations.  (REC),,
HE12,Health Education (2012),Third Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors. [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.VS01.CC,Identify pro-social behaviors.  (REC),HE.03.VS01.GS,"Set a goal to engage in positive, helpful behaviors.  (REC)",,
HE12,Health Education (2012),Third Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors. [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.VS02.CC,"Identify why bullying, cyber-bullying, harassment and teasing are detrimental to health and safety.  (REQ)",HE.03.VS02.AI,Identify how to report unsafe situations to trusted adults.  (REQ),,
HE12,Health Education (2012),Third Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors. [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.VS02.CC,"Identify why bullying, cyber-bullying, harassment and teasing are detrimental to health and safety.  (REQ)",HE.03.VS02.IC,"Demonstrate how to respond and report if someone is bullying, harassing or teasing.  (REQ)",,
HE12,Health Education (2012),Third Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors. [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.VS03.CC,Identify that media and technology may contain violent messages and images.  (REQ),HE.03.VS03.INF,Explain how helpful and hurtful messages in media and technology can influence.,,
HE12,Health Education (2012),Third Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors. [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.VS04.CC,"Explain the role of problem solving, anger management and impulse control in preventing violence.  (REC)",HE.03.VS04.SM,"Demonstrate the steps of problem solving, anger management and impulse control.   (REC)",,
HE12,Health Education (2012),Third Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors. [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.03.VS04.CC,"Explain the role of problem solving, anger management and impulse control in preventing violence.  (REC)",HE.03.VS04.IC,Manage interpersonal conflict in non-violent ways.  (REC),,
HE12,Health Education (2012),Fifth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.AT01.CC,Describe the benefits of a tobacco and drug-free environment.  (REQ),HE.05.AT01.ADV,Advocate for the benefit of a tobacco and drug-free environment.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.AT02.CC,"List reasons why most youth do not use alcohol, tobacco and illegal drugs.  (REQ)",HE.05.AT02.IC,"Demonstrate verbal and non-verbal refusal skills to avoid alcohol, tobacco and illegal drugs.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.AT03.CC,"Identify short-and long-term conse-quences of alcohol, tobacco, steroids, and other drug use.  (REQ)",HE.05.AT03.AI,"Locate reliable health resources to gather information on alco-hol, tobacco, steroids, and other drug use.  (REQ)",,
HE12,Health Education (2012),Fifth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.AT04.CC,Identify that second-hand smoke is harm-ful to personal health.  (REQ),HE.05.AT04.SM,Demonstrate ways to avoid secondhand smoke.  Req),,
HE12,Health Education (2012),Fifth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.AT05.CC,Explain appropriate use of ‘over the counter’ and prescription drugs.  (REQ),HE.05.AT05.AI,Identify appropriate person(s) to dispense medication to children.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.AT05.CC,Explain appropriate use of ‘over the counter’ and prescription drugs.  (REQ),HE.05.AT05.IC,Demonstrate communication skills necessary for appropriate use of medication.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.AT06.CC,"Identify school policies and state laws related to alcohol, tobacco, and other drug use, possession, and sales.   (REQ)",HE.05.AT06.IC,Demonstrate communication skills about policies and laws specific to healthy school and community.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.AT07.CC,"Recognize how advertising influences alcohol, tobacco and other drug use.  (REQ)",HE.05.AT07.INF,Identify how advertising influences youth to use alcohol and tobacco products.  (REQ),,
HE12,Health Education (2012),Fifth Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Curricula to include Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.05.AT07.CC,"Recognize how advertising influences alcohol, tobacco and other drug use.  (REQ)",HE.05.AT07.ADV,Encourage youth to recognize advertising influences and to practice media literacy skills.   (REQ),,
HE12,Health Education (2012),Fifth Grade,,Prevention and Control of Disease,,Acquire knowledge and skills to understand and practice health habits that can prevent and/or control disease.  [Related ORS:  336.455 Human Sexuality Education Courses (K-12); Related OARs:  OAR 581-022-1440 Human Sexuality Education],HE.05.PC01.CC,Differentiate between communicable diseases and non-communicable diseases.  (REQ),HE.05.PC01.AI,Identify examples of communicable and non-communicable  (REQ),,
